first_field;image_html;portuguese;portuguese_audio_html
clay - portuguese;"<img src=""vocab-clay.jpg"">";argila;[sound:vocab-portuguese-argila.mp3]
clean (adjective) - portuguese;"<img src=""vocab-clean (adjective).jpg"">";limpo;[sound:vocab-portuguese-limpo.mp3]
clean (verb) - portuguese;"<img src=""vocab-clean (verb).jpg"">";limpar;[sound:vocab-portuguese-limpar.mp3]
clock - portuguese;"<img src=""vocab-clock.jpg"">";relógio;[sound:vocab-portuguese-relógio.mp3]
close - portuguese;"<img src=""vocab-close.jpg"">";fechar;[sound:vocab-portuguese-fechar.mp3]
clothing - portuguese;"<img src=""vocab-clothing.jpg"">";roupas;[sound:vocab-portuguese-roupas.mp3]
cloud - portuguese;"<img src=""vocab-cloud.jpg"">";nuvem;[sound:vocab-portuguese-nuvem.mp3]
club - portuguese;"<img src=""vocab-club.jpg"">";clube;[sound:vocab-portuguese-clube.mp3]
coat - portuguese;"<img src=""vocab-coat.jpg"">";casaco;[sound:vocab-portuguese-casaco.mp3]
coffee - portuguese;"<img src=""vocab-coffee.jpg"">";café;[sound:vocab-portuguese-café.mp3]
cold - portuguese;"<img src=""vocab-cold.jpg"">";frio;[sound:vocab-portuguese-frio.mp3]
collar - portuguese;"<img src=""vocab-collar.jpg"">";colarinho;[sound:vocab-portuguese-colarinho.mp3]
color - portuguese;"<img src=""vocab-color.jpg"">";cor;[sound:vocab-portuguese-cor.mp3]
comb - portuguese;"<img src=""vocab-comb.jpg"">";pente;[sound:vocab-portuguese-pente.mp3]
come - portuguese;"<img src=""vocab-come.jpg"">";vir;[sound:vocab-portuguese-vir.mp3]
computer - portuguese;"<img src=""vocab-computer.jpg"">";computador;[sound:vocab-portuguese-computador.mp3]
consonant - portuguese;"<img src=""vocab-consonant.jpg"">";consoante;[sound:vocab-portuguese-consoante.mp3]
contract - portuguese;"<img src=""vocab-contract.jpg"">";contrato;[sound:vocab-portuguese-contrato.mp3]
cook - portuguese;"<img src=""vocab-cook.jpg"">";cozinhar;[sound:vocab-portuguese-cozinhar.mp3]
copper - portuguese;"<img src=""vocab-copper.jpg"">";cobre;[sound:vocab-portuguese-cobre.mp3]
cord - portuguese;"<img src=""vocab-cord.jpg"">";fio;[sound:vocab-portuguese-fio.mp3]
corn - portuguese;"<img src=""vocab-corn.jpg"">";milho;[sound:vocab-portuguese-milho.mp3]
corner - portuguese;"<img src=""vocab-corner.jpg"">";canto;[sound:vocab-portuguese-canto.mp3]
count - portuguese;"<img src=""vocab-count.jpg"">";contar;[sound:vocab-portuguese-contar.mp3]
country - portuguese;"<img src=""vocab-country.jpg"">";país;[sound:vocab-portuguese-país.mp3]
court - portuguese;"<img src=""vocab-court.jpg"">";quadra;[sound:vocab-portuguese-quadra.mp3]
cow - portuguese;"<img src=""vocab-cow.jpg"">";vaca;[sound:vocab-portuguese-vaca.mp3]
crowd - portuguese;"<img src=""vocab-crowd.jpg"">";multidão;[sound:vocab-portuguese-multidão.mp3]
cry - portuguese;"<img src=""vocab-cry.jpg"">";chorar;[sound:vocab-portuguese-chorar.mp3]
cup - portuguese;"<img src=""vocab-cup.jpg"">";copo;[sound:vocab-portuguese-copo.mp3]
curtain - portuguese;"<img src=""vocab-curtain.jpg"">";cortina;[sound:vocab-portuguese-cortina.mp3]
curved - portuguese;"<img src=""vocab-curved.jpg"">";curvado;[sound:vocab-portuguese-curvado.mp3]
cushion - portuguese;"<img src=""vocab-cushion.jpg"">";almofada;[sound:vocab-portuguese-almofada.mp3]
cut - portuguese;"<img src=""vocab-cut.jpg"">";cortar;[sound:vocab-portuguese-cortar.mp3]
dance - portuguese;"<img src=""vocab-dance.jpg"">";dançar;[sound:vocab-portuguese-dançar.mp3]
dark - portuguese;"<img src=""vocab-dark.jpg"">";escuro;[sound:vocab-portuguese-escuro.mp3]
date - portuguese;"<img src=""vocab-date.jpg"">";data;[sound:vocab-portuguese-data.mp3]
daughter - portuguese;"<img src=""vocab-daughter.jpg"">";filha;[sound:vocab-portuguese-filha.mp3]
day - portuguese;"<img src=""vocab-day.jpg"">";dia;[sound:vocab-portuguese-dia.mp3]
dead - portuguese;"<img src=""vocab-dead.jpg"">";morto;[sound:vocab-portuguese-morto.mp3]
deaf - portuguese;"<img src=""vocab-deaf.jpg"">";surdo;[sound:vocab-portuguese-surdo.mp3]
death - portuguese;"<img src=""vocab-death.jpg"">";morte;[sound:vocab-portuguese-morte.mp3]
December - portuguese;"<img src=""vocab-December.jpg"">";dezembro;[sound:vocab-portuguese-dezembro.mp3]
deep - portuguese;"<img src=""vocab-deep.jpg"">";profundo;[sound:vocab-portuguese-profundo.mp3]
diamond - portuguese;"<img src=""vocab-diamond.jpg"">";diamante;[sound:vocab-portuguese-diamante.mp3]
die - portuguese;"<img src=""vocab-die.jpg"">";morrer;[sound:vocab-portuguese-morrer.mp3]
difficult - portuguese;"<img src=""vocab-difficult.jpg"">";difícil;[sound:vocab-portuguese-difícil.mp3]
dig - portuguese;"<img src=""vocab-dig.jpg"">";cavar;[sound:vocab-portuguese-cavar.mp3]
dinner - portuguese;"<img src=""vocab-dinner.jpg"">";jantar;[sound:vocab-portuguese-jantar.mp3]
direction - portuguese;"<img src=""vocab-direction.jpg"">";direção;[sound:vocab-portuguese-direção.mp3]
dirty - portuguese;"<img src=""vocab-dirty.jpg"">";sujo;[sound:vocab-portuguese-sujo.mp3]
disease - portuguese;"<img src=""vocab-disease.jpg"">";doença;[sound:vocab-portuguese-doença.mp3]
doctor - portuguese;"<img src=""vocab-doctor.jpg"">";doutor;[sound:vocab-portuguese-doutor.mp3]
dog - portuguese;"<img src=""vocab-dog.jpg"">";cachorro;[sound:vocab-portuguese-cachorro.mp3]
dollar - portuguese;"<img src=""vocab-dollar.jpg"">";dólar;[sound:vocab-portuguese-dólar.mp3]
door - portuguese;"<img src=""vocab-door.jpg"">";porta;[sound:vocab-portuguese-porta.mp3]
dot - portuguese;"<img src=""vocab-dot.jpg"">";ponto;[sound:vocab-portuguese-ponto.mp3]
down - portuguese;"<img src=""vocab-down.jpg"">";embaixo;[sound:vocab-portuguese-embaixo.mp3]
drain - portuguese;"<img src=""vocab-drain.jpg"">";ralo;[sound:vocab-portuguese-ralo.mp3]
draw - portuguese;"<img src=""vocab-draw.jpg"">";desenhar;[sound:vocab-portuguese-desenhar.mp3]
drawer - portuguese;"<img src=""vocab-drawer.jpg"">";gaveta;[sound:vocab-portuguese-gaveta.mp3]
dream - portuguese;"<img src=""vocab-dream.jpg"">";sonhe;[sound:vocab-portuguese-sonhe.mp3]
dress - portuguese;"<img src=""vocab-dress.jpg"">";vestido;[sound:vocab-portuguese-vestido.mp3]
drink - portuguese;"<img src=""vocab-drink.jpg"">";beber;[sound:vocab-portuguese-beber.mp3]
drive - portuguese;"<img src=""vocab-drive.jpg"">";conduzir;[sound:vocab-portuguese-conduzir.mp3]
drop - portuguese;"<img src=""vocab-drop.jpg"">";gota;[sound:vocab-portuguese-gota.mp3]
drug - portuguese;"<img src=""vocab-drug.jpg"">";medicamento;[sound:vocab-portuguese-medicamento.mp3]
dry - portuguese;"<img src=""vocab-dry.jpg"">";seco;[sound:vocab-portuguese-seco.mp3]
dust - portuguese;"<img src=""vocab-dust.jpg"">";pó;[sound:vocab-portuguese-pó.mp3]
ear - portuguese;"<img src=""vocab-ear.jpg"">";orelha;[sound:vocab-portuguese-orelha.mp3]
Earth - portuguese;"<img src=""vocab-Earth.jpg"">";terra;[sound:vocab-portuguese-terra.mp3]
east - portuguese;"<img src=""vocab-east.jpg"">";leste;[sound:vocab-portuguese-leste.mp3]
easy - portuguese;"<img src=""vocab-easy.jpg"">";fácil;[sound:vocab-portuguese-fácil.mp3]
eat - portuguese;"<img src=""vocab-eat.jpg"">";comer;[sound:vocab-portuguese-comer.mp3]
edge - portuguese;"<img src=""vocab-edge.jpg"">";beira;[sound:vocab-portuguese-beira.mp3]
egg - portuguese;"<img src=""vocab-egg.jpg"">";ovo;[sound:vocab-portuguese-ovo.mp3]
eight - portuguese;"<img src=""vocab-eight.jpg"">";oito;[sound:vocab-portuguese-oito.mp3]
eighteen - portuguese;"<img src=""vocab-eighteen.jpg"">";dezoito;[sound:vocab-portuguese-dezoito.mp3]
eighty - portuguese;"<img src=""vocab-eighty.jpg"">";oitenta;[sound:vocab-portuguese-oitenta.mp3]
election - portuguese;"<img src=""vocab-election.jpg"">";eleição;[sound:vocab-portuguese-eleição.mp3]
electronics - portuguese;"<img src=""vocab-electronics.jpg"">";eletrônicos;[sound:vocab-portuguese-eletrônicos.mp3]
eleven - portuguese;"<img src=""vocab-eleven.jpg"">";onze;[sound:vocab-portuguese-onze.mp3]
energy - portuguese;"<img src=""vocab-energy.jpg"">";energia;[sound:vocab-portuguese-energia.mp3]
engine - portuguese;"<img src=""vocab-engine.jpg"">";motor;[sound:vocab-portuguese-motor.mp3]
escape - portuguese;"<img src=""vocab-escape.jpg"">";escapar;[sound:vocab-portuguese-escapar.mp3]
evening - portuguese;"<img src=""vocab-evening.jpg"">";noite;[sound:vocab-portuguese-noite.mp3]
exercise - portuguese;"<img src=""vocab-exercise.jpg"">";exercício;[sound:vocab-portuguese-exercício.mp3]
expensive - portuguese;"<img src=""vocab-expensive.jpg"">";caro;[sound:vocab-portuguese-caro.mp3]
explode - portuguese;"<img src=""vocab-explode.jpg"">";explodir;[sound:vocab-portuguese-explodir.mp3]
eye - portuguese;"<img src=""vocab-eye.jpg"">";olho;[sound:vocab-portuguese-olho.mp3]
face - portuguese;"<img src=""vocab-face.jpg"">";cara;[sound:vocab-portuguese-cara.mp3]
fall (season) - portuguese;"<img src=""vocab-fall (season).jpg"">";outono;[sound:vocab-portuguese-outono.mp3]
fall (verb) - portuguese;"<img src=""vocab-fall (verb).jpg"">";cair;[sound:vocab-portuguese-cair.mp3]
family - portuguese;"<img src=""vocab-family.jpg"">";família;[sound:vocab-portuguese-família.mp3]
famous - portuguese;"<img src=""vocab-famous.jpg"">";famoso;[sound:vocab-portuguese-famoso.mp3]
fan (device) - portuguese;"<img src=""vocab-fan (device).jpg"">";ventilador;[sound:vocab-portuguese-ventilador.mp3]
fan (person) - portuguese;"<img src=""vocab-fan (person).jpg"">";fã;[sound:vocab-portuguese-fã.mp3]
far - portuguese;"<img src=""vocab-far.jpg"">";longe;[sound:vocab-portuguese-longe.mp3]
farm - portuguese;"<img src=""vocab-farm.jpg"">";fazenda;[sound:vocab-portuguese-fazenda.mp3]
fast - portuguese;"<img src=""vocab-fast.jpg"">";rápido;[sound:vocab-portuguese-rápido.mp3]
father - portuguese;"<img src=""vocab-father.jpg"">";pai;[sound:vocab-portuguese-pai.mp3]
feather - portuguese;"<img src=""vocab-feather.jpg"">";pena;[sound:vocab-portuguese-pena.mp3]
February - portuguese;"<img src=""vocab-February.jpg"">";fevereiro;[sound:vocab-portuguese-fevereiro.mp3]
feed - portuguese;"<img src=""vocab-feed.jpg"">";alimentação;[sound:vocab-portuguese-alimentação.mp3]
female - portuguese;"<img src=""vocab-female.jpg"">";fêmea;[sound:vocab-portuguese-fêmea.mp3]
fifteen - portuguese;"<img src=""vocab-fifteen.jpg"">";quinze;[sound:vocab-portuguese-quinze.mp3]
fifth - portuguese;"<img src=""vocab-fifth.jpg"">";quinto;[sound:vocab-portuguese-quinto.mp3]
fifty - portuguese;"<img src=""vocab-fifty.jpg"">";cinquenta;[sound:vocab-portuguese-cinquenta.mp3]
fight - portuguese;"<img src=""vocab-fight.jpg"">";lutar;[sound:vocab-portuguese-lutar.mp3]
find - portuguese;"<img src=""vocab-find.jpg"">";encontrar;[sound:vocab-portuguese-encontrar.mp3]
finger - portuguese;"<img src=""vocab-finger.jpg"">";dedo;[sound:vocab-portuguese-dedo.mp3]
fire - portuguese;"<img src=""vocab-fire.jpg"">";fogo;[sound:vocab-portuguese-fogo.mp3]
first - portuguese;"<img src=""vocab-first.jpg"">";primeiro;[sound:vocab-portuguese-primeiro.mp3]
fish - portuguese;"<img src=""vocab-fish.jpg"">";peixe;[sound:vocab-portuguese-peixe.mp3]
five - portuguese;"<img src=""vocab-five.jpg"">";cinco;[sound:vocab-portuguese-cinco.mp3]
flag - portuguese;"<img src=""vocab-flag.jpg"">";bandeira;[sound:vocab-portuguese-bandeira.mp3]
flat - portuguese;"<img src=""vocab-flat.jpg"">";plano;[sound:vocab-portuguese-plano.mp3]
floor - portuguese;"<img src=""vocab-floor.jpg"">";piso;[sound:vocab-portuguese-piso.mp3]
flower - portuguese;"<img src=""vocab-flower.jpg"">";flor;[sound:vocab-portuguese-flor.mp3]
fly - portuguese;"<img src=""vocab-fly.jpg"">";mosca;[sound:vocab-portuguese-mosca.mp3]
follow - portuguese;"<img src=""vocab-follow.jpg"">";seguir;[sound:vocab-portuguese-seguir.mp3]
food - portuguese;"<img src=""vocab-food.jpg"">";comida;[sound:vocab-portuguese-comida.mp3]
foot - portuguese;"<img src=""vocab-foot.jpg"">";pé;[sound:vocab-portuguese-pé.mp3]
forest - portuguese;"<img src=""vocab-forest.jpg"">";floresta;[sound:vocab-portuguese-floresta.mp3]
fork - portuguese;"<img src=""vocab-fork.jpg"">";garfo;[sound:vocab-portuguese-garfo.mp3]
forty - portuguese;"<img src=""vocab-forty.jpg"">";quarenta;[sound:vocab-portuguese-quarenta.mp3]
four - portuguese;"<img src=""vocab-four.jpg"">";quatro;[sound:vocab-portuguese-quatro.mp3]
fourteen - portuguese;"<img src=""vocab-fourteen.jpg"">";quatorze;[sound:vocab-portuguese-quatorze.mp3]
fourth - portuguese;"<img src=""vocab-fourth.jpg"">";quarto;[sound:vocab-portuguese-quarto.mp3]
frame - portuguese;"<img src=""vocab-frame.jpg"">";quadro;[sound:vocab-portuguese-quadro.mp3]
free - portuguese;"<img src=""vocab-free.jpg"">";livre;[sound:vocab-portuguese-livre.mp3]
Friday - portuguese;"<img src=""vocab-Friday.jpg"">";sexta-feira;[sound:vocab-portuguese-sexta-feira.mp3]
friend - portuguese;"<img src=""vocab-friend.jpg"">";amigo;[sound:vocab-portuguese-amigo.mp3]
front - portuguese;"<img src=""vocab-front.jpg"">";frente;[sound:vocab-portuguese-frente.mp3]
funny - portuguese;"<img src=""vocab-funny.jpg"">";engraçado;[sound:vocab-portuguese-engraçado.mp3]
game - portuguese;"<img src=""vocab-game.jpg"">";jogo;[sound:vocab-portuguese-jogo.mp3]
garden - portuguese;"<img src=""vocab-garden.jpg"">";jardim;[sound:vocab-portuguese-jardim.mp3]
gasoline - portuguese;"<img src=""vocab-gasoline.jpg"">";gasolina;[sound:vocab-portuguese-gasolina.mp3]
gift - portuguese;"<img src=""vocab-gift.jpg"">";presente;[sound:vocab-portuguese-presente.mp3]
girl - portuguese;"<img src=""vocab-girl.jpg"">";garota;[sound:vocab-portuguese-garota.mp3]
give - portuguese;"<img src=""vocab-give.jpg"">";dar;[sound:vocab-portuguese-dar.mp3]
glass - portuguese;"<img src=""vocab-glass.jpg"">";copo;[sound:vocab-portuguese-copo.mp3]
glove - portuguese;"<img src=""vocab-glove.jpg"">";luva;[sound:vocab-portuguese-luva.mp3]
go - portuguese;"<img src=""vocab-go.jpg"">";ir;[sound:vocab-portuguese-ir.mp3]
goat - portuguese;"<img src=""vocab-goat.jpg"">";cabra;[sound:vocab-portuguese-cabra.mp3]
God - portuguese;"<img src=""vocab-God.jpg"">";deus;[sound:vocab-portuguese-deus.mp3]
gold - portuguese;"<img src=""vocab-gold.jpg"">";ouro;[sound:vocab-portuguese-ouro.mp3]
good - portuguese;"<img src=""vocab-good.jpg"">";bom;[sound:vocab-portuguese-bom.mp3]
government - portuguese;"<img src=""vocab-government.jpg"">";governo;[sound:vocab-portuguese-governo.mp3]
grandfather - portuguese;"<img src=""vocab-grandfather.jpg"">";avô;[sound:vocab-portuguese-avô.mp3]
grandmother - portuguese;"<img src=""vocab-grandmother.jpg"">";avó;[sound:vocab-portuguese-avó.mp3]
grass - portuguese;"<img src=""vocab-grass.jpg"">";grama;[sound:vocab-portuguese-grama.mp3]
gray - portuguese;"<img src=""vocab-gray.jpg"">";cinza;[sound:vocab-portuguese-cinza.mp3]
green - portuguese;"<img src=""vocab-green.jpg"">";verde;[sound:vocab-portuguese-verde.mp3]
ground - portuguese;"<img src=""vocab-ground.jpg"">";solo;[sound:vocab-portuguese-solo.mp3]
grow - portuguese;"<img src=""vocab-grow.jpg"">";crescer;[sound:vocab-portuguese-crescer.mp3]
gun - portuguese;"<img src=""vocab-gun.jpg"">";arma;[sound:vocab-portuguese-arma.mp3]
hair - portuguese;"<img src=""vocab-hair.jpg"">";cabelo;[sound:vocab-portuguese-cabelo.mp3]
half - portuguese;"<img src=""vocab-half.jpg"">";metade;[sound:vocab-portuguese-metade.mp3]
hammer - portuguese;"<img src=""vocab-hammer.jpg"">";martelo;[sound:vocab-portuguese-martelo.mp3]
hand - portuguese;"<img src=""vocab-hand.jpg"">";mão;[sound:vocab-portuguese-mão.mp3]
hang - portuguese;"<img src=""vocab-hang.jpg"">";pendurar;[sound:vocab-portuguese-pendurar.mp3]
happy - portuguese;"<img src=""vocab-happy.jpg"">";feliz;[sound:vocab-portuguese-feliz.mp3]
hard - portuguese;"<img src=""vocab-hard.jpg"">";duro;[sound:vocab-portuguese-duro.mp3]
hat - portuguese;"<img src=""vocab-hat.jpg"">";chapéu;[sound:vocab-portuguese-chapéu.mp3]
he - portuguese;"<img src=""vocab-he.jpg"">";ele;[sound:vocab-portuguese-ele.mp3]
head - portuguese;"<img src=""vocab-head.jpg"">";cabeça;[sound:vocab-portuguese-cabeça.mp3]
healthy - portuguese;"<img src=""vocab-healthy.jpg"">";saudável;[sound:vocab-portuguese-saudável.mp3]
hear - portuguese;"<img src=""vocab-hear.jpg"">";ouvir;[sound:vocab-portuguese-ouvir.mp3]
heart - portuguese;"<img src=""vocab-heart.jpg"">";coração;[sound:vocab-portuguese-coração.mp3]
heat - portuguese;"<img src=""vocab-heat.jpg"">";calor;[sound:vocab-portuguese-calor.mp3]
heaven - portuguese;"<img src=""vocab-heaven.jpg"">";paraíso;[sound:vocab-portuguese-paraíso.mp3]
heavy - portuguese;"<img src=""vocab-heavy.jpg"">";pesado;[sound:vocab-portuguese-pesado.mp3]
hell - portuguese;"<img src=""vocab-hell.jpg"">";inferno;[sound:vocab-portuguese-inferno.mp3]
here - portuguese;"<img src=""vocab-here.jpg"">";aqui;[sound:vocab-portuguese-aqui.mp3]
high - portuguese;"<img src=""vocab-high.jpg"">";alto;[sound:vocab-portuguese-alto.mp3]
hill - portuguese;"<img src=""vocab-hill.jpg"">";colina;[sound:vocab-portuguese-colina.mp3]
history - portuguese;"<img src=""vocab-history.jpg"">";história;[sound:vocab-portuguese-história.mp3]
hole - portuguese;"<img src=""vocab-hole.jpg"">";buraco;[sound:vocab-portuguese-buraco.mp3]
hook - portuguese;"<img src=""vocab-hook.jpg"">";gancho;[sound:vocab-portuguese-gancho.mp3]
horn - portuguese;"<img src=""vocab-horn.jpg"">";chifre;[sound:vocab-portuguese-chifre.mp3]
horse - portuguese;"<img src=""vocab-horse.jpg"">";cavalo;[sound:vocab-portuguese-cavalo.mp3]
hospital - portuguese;"<img src=""vocab-hospital.jpg"">";hospital;[sound:vocab-portuguese-hospital.mp3]
hot - portuguese;"<img src=""vocab-hot.jpg"">";quente;[sound:vocab-portuguese-quente.mp3]
hotel - portuguese;"<img src=""vocab-hotel.jpg"">";hotel;[sound:vocab-portuguese-hotel.mp3]
hour - portuguese;"<img src=""vocab-hour.jpg"">";hora;[sound:vocab-portuguese-hora.mp3]
house - portuguese;"<img src=""vocab-house.jpg"">";casa;[sound:vocab-portuguese-casa.mp3]
human - portuguese;"<img src=""vocab-human.jpg"">";humano;[sound:vocab-portuguese-humano.mp3]
hundred - portuguese;"<img src=""vocab-hundred.jpg"">";cem;[sound:vocab-portuguese-cem.mp3]
husband - portuguese;"<img src=""vocab-husband.jpg"">";esposo;[sound:vocab-portuguese-esposo.mp3]
I - portuguese;"<img src=""vocab-I.jpg"">";eu;[sound:vocab-portuguese-eu.mp3]
ice - portuguese;"<img src=""vocab-ice.jpg"">";gelo;[sound:vocab-portuguese-gelo.mp3]
idea - portuguese;"<img src=""vocab-idea.jpg"">";ideia;[sound:vocab-portuguese-ideia.mp3]
image - portuguese;"<img src=""vocab-image.jpg"">";imagem;[sound:vocab-portuguese-imagem.mp3]
inch - portuguese;"<img src=""vocab-inch.jpg"">";polegada;[sound:vocab-portuguese-polegada.mp3]
injury - portuguese;"<img src=""vocab-injury.jpg"">";ferimentos;[sound:vocab-portuguese-ferimentos.mp3]
inside - portuguese;"<img src=""vocab-inside.jpg"">";dentro de;[sound:vocab-portuguese-dentro de.mp3]
instrument - portuguese;"<img src=""vocab-instrument.jpg"">";instrumento;[sound:vocab-portuguese-instrumento.mp3]
island - portuguese;"<img src=""vocab-island.jpg"">";ilha;[sound:vocab-portuguese-ilha.mp3]
it - portuguese;"<img src=""vocab-it.jpg"">";isso;[sound:vocab-portuguese-isso.mp3]
January - portuguese;"<img src=""vocab-January.jpg"">";janeiro;[sound:vocab-portuguese-janeiro.mp3]
jewel - portuguese;"<img src=""vocab-jewel.jpg"">";jóia;[sound:vocab-portuguese-jóia.mp3]
job - portuguese;"<img src=""vocab-job.jpg"">";trabalho;[sound:vocab-portuguese-trabalho.mp3]
juice - portuguese;"<img src=""vocab-juice.jpg"">";sumo;[sound:vocab-portuguese-sumo.mp3]
July - portuguese;"<img src=""vocab-July.jpg"">";julho;[sound:vocab-portuguese-julho.mp3]
jump - portuguese;"<img src=""vocab-jump.jpg"">";pular;[sound:vocab-portuguese-pular.mp3]
June - portuguese;"<img src=""vocab-June.jpg"">";junho;[sound:vocab-portuguese-junho.mp3]
kettle - portuguese;"<img src=""vocab-kettle.jpg"">";chaleira;[sound:vocab-portuguese-chaleira.mp3]
key - portuguese;"<img src=""vocab-key.jpg"">";chave;[sound:vocab-portuguese-chave.mp3]
kill - portuguese;"<img src=""vocab-kill.jpg"">";matar;[sound:vocab-portuguese-matar.mp3]
kilogram - portuguese;"<img src=""vocab-kilogram.jpg"">";quilograma;[sound:vocab-portuguese-quilograma.mp3]
king - portuguese;"<img src=""vocab-king.jpg"">";rei;[sound:vocab-portuguese-rei.mp3]
kiss - portuguese;"<img src=""vocab-kiss.jpg"">";beijo;[sound:vocab-portuguese-beijo.mp3]
kitchen - portuguese;"<img src=""vocab-kitchen.jpg"">";cozinha;[sound:vocab-portuguese-cozinha.mp3]
knee - portuguese;"<img src=""vocab-knee.jpg"">";joelho;[sound:vocab-portuguese-joelho.mp3]
knife - portuguese;"<img src=""vocab-knife.jpg"">";faca;[sound:vocab-portuguese-faca.mp3]
knot - portuguese;"<img src=""vocab-knot.jpg"">";nó;[sound:vocab-portuguese-nó.mp3]
lake - portuguese;"<img src=""vocab-lake.jpg"">";lago;[sound:vocab-portuguese-lago.mp3]
lamp - portuguese;"<img src=""vocab-lamp.jpg"">";luminária;[sound:vocab-portuguese-luminária.mp3]
language - portuguese;"<img src=""vocab-language.jpg"">";idioma;[sound:vocab-portuguese-idioma.mp3]
laptop - portuguese;"<img src=""vocab-laptop.jpg"">";laptop;[sound:vocab-portuguese-laptop.mp3]
last - portuguese;"<img src=""vocab-last.jpg"">";último;[sound:vocab-portuguese-último.mp3]
laugh - portuguese;"<img src=""vocab-laugh.jpg"">";rir;[sound:vocab-portuguese-rir.mp3]
lawyer - portuguese;"<img src=""vocab-lawyer.jpg"">";advogado;[sound:vocab-portuguese-advogado.mp3]
leaf - portuguese;"<img src=""vocab-leaf.jpg"">";folha;[sound:vocab-portuguese-folha.mp3]
learn - portuguese;"<img src=""vocab-learn.jpg"">";aprender;[sound:vocab-portuguese-aprender.mp3]
left - portuguese;"<img src=""vocab-left.jpg"">";esquerda;[sound:vocab-portuguese-esquerda.mp3]
leg - portuguese;"<img src=""vocab-leg.jpg"">";perna;[sound:vocab-portuguese-perna.mp3]
lemon - portuguese;"<img src=""vocab-lemon.jpg"">";limão;[sound:vocab-portuguese-limão.mp3]
letter - portuguese;"<img src=""vocab-letter.jpg"">";carta;[sound:vocab-portuguese-carta.mp3]
library - portuguese;"<img src=""vocab-library.jpg"">";biblioteca;[sound:vocab-portuguese-biblioteca.mp3]
lie down - portuguese;"<img src=""vocab-lie down.jpg"">";deitar;[sound:vocab-portuguese-deitar.mp3]
lift - portuguese;"<img src=""vocab-lift.jpg"">";levantar;[sound:vocab-portuguese-levantar.mp3]
light (brightness) - portuguese;"<img src=""vocab-light (brightness).jpg"">";claro;[sound:vocab-portuguese-claro.mp3]
light (noun) - portuguese;"<img src=""vocab-light (noun).jpg"">";luz;[sound:vocab-portuguese-luz.mp3]
light (weight) - portuguese;"<img src=""vocab-light (weight).jpg"">";leve;[sound:vocab-portuguese-leve.mp3]
line - portuguese;"<img src=""vocab-line.jpg"">";linha;[sound:vocab-portuguese-linha.mp3]
lip - portuguese;"<img src=""vocab-lip.jpg"">";lábio;[sound:vocab-portuguese-lábio.mp3]
listen - portuguese;"<img src=""vocab-listen.jpg"">";ouvir;[sound:vocab-portuguese-ouvir.mp3]
location - portuguese;"<img src=""vocab-location.jpg"">";localização;[sound:vocab-portuguese-localização.mp3]
lock - portuguese;"<img src=""vocab-lock.jpg"">";cadeado;[sound:vocab-portuguese-cadeado.mp3]
long - portuguese;"<img src=""vocab-long.jpg"">";longo;[sound:vocab-portuguese-longo.mp3]
loose - portuguese;"<img src=""vocab-loose.jpg"">";solto;[sound:vocab-portuguese-solto.mp3]
lose - portuguese;"<img src=""vocab-lose.jpg"">";perder;[sound:vocab-portuguese-perder.mp3]
lost - portuguese;"<img src=""vocab-lost.jpg"">";perdido;[sound:vocab-portuguese-perdido.mp3]
loud - portuguese;"<img src=""vocab-loud.jpg"">";alto;[sound:vocab-portuguese-alto.mp3]
love - portuguese;"<img src=""vocab-love.jpg"">";amar;[sound:vocab-portuguese-amar.mp3]
low - portuguese;"<img src=""vocab-low.jpg"">";baixo;[sound:vocab-portuguese-baixo.mp3]
lucky - portuguese;"<img src=""vocab-lucky.jpg"">";afortunado;[sound:vocab-portuguese-afortunado.mp3]
lunch - portuguese;"<img src=""vocab-lunch.jpg"">";almoço;[sound:vocab-portuguese-almoço.mp3]
magazine - portuguese;"<img src=""vocab-magazine.jpg"">";revista;[sound:vocab-portuguese-revista.mp3]
male - portuguese;"<img src=""vocab-male.jpg"">";masculino;[sound:vocab-portuguese-masculino.mp3]
man - portuguese;"<img src=""vocab-man.jpg"">";homen;[sound:vocab-portuguese-homen.mp3]
manager - portuguese;"<img src=""vocab-manager.jpg"">";gerente;[sound:vocab-portuguese-gerente.mp3]
map - portuguese;"<img src=""vocab-map.jpg"">";mapa;[sound:vocab-portuguese-mapa.mp3]
March - portuguese;"<img src=""vocab-March.jpg"">";março;[sound:vocab-portuguese-março.mp3]
market - portuguese;"<img src=""vocab-market.jpg"">";mercado;[sound:vocab-portuguese-mercado.mp3]
marriage - portuguese;"<img src=""vocab-marriage.jpg"">";casado;[sound:vocab-portuguese-casado.mp3]
marry - portuguese;"<img src=""vocab-marry.jpg"">";casar;[sound:vocab-portuguese-casar.mp3]
match - portuguese;"<img src=""vocab-match.jpg"">";fósforo;[sound:vocab-portuguese-fósforo.mp3]
material - portuguese;"<img src=""vocab-material.jpg"">";material;[sound:vocab-portuguese-material.mp3]
May - portuguese;"<img src=""vocab-May.jpg"">";maio;[sound:vocab-portuguese-maio.mp3]
mean - portuguese;"<img src=""vocab-mean.jpg"">";significar;[sound:vocab-portuguese-significar.mp3]
medicine - portuguese;"<img src=""vocab-medicine.jpg"">";medicamento;[sound:vocab-portuguese-medicamento.mp3]
melt - portuguese;"<img src=""vocab-melt.jpg"">";fundição;[sound:vocab-portuguese-fundição.mp3]
