first_field;image_html;portuguese;portuguese_audio_html
tooth - portuguese;"<img src=""vocab-tooth.jpg"">";dente;[sound:vocab-portuguese-dente.mp3]
top - portuguese;"<img src=""vocab-top.jpg"">";topo;[sound:vocab-portuguese-topo.mp3]
touch - portuguese;"<img src=""vocab-touch.jpg"">";tocar;[sound:vocab-portuguese-tocar.mp3]
town - portuguese;"<img src=""vocab-town.jpg"">";povoado;[sound:vocab-portuguese-povoado.mp3]
train station - portuguese;"<img src=""vocab-train station.jpg"">";estação de trem;[sound:vocab-portuguese-estação de trem.mp3]
train - portuguese;"<img src=""vocab-train.jpg"">";trem;[sound:vocab-portuguese-trem.mp3]
transportation - portuguese;"<img src=""vocab-transportation.jpg"">";transporte;[sound:vocab-portuguese-transporte.mp3]
tray - portuguese;"<img src=""vocab-tray.jpg"">";bandeja;[sound:vocab-portuguese-bandeja.mp3]
tree - portuguese;"<img src=""vocab-tree.jpg"">";árvore;[sound:vocab-portuguese-árvore.mp3]
truck - portuguese;"<img src=""vocab-truck.jpg"">";caminhão;[sound:vocab-portuguese-caminhão.mp3]
Tuesday - portuguese;"<img src=""vocab-Tuesday.jpg"">";terça-feira;[sound:vocab-portuguese-terça-feira.mp3]
turn - portuguese;"<img src=""vocab-turn.jpg"">";virar;[sound:vocab-portuguese-virar.mp3]
twelve - portuguese;"<img src=""vocab-twelve.jpg"">";doze;[sound:vocab-portuguese-doze.mp3]
twenty-one - portuguese;"<img src=""vocab-twenty-one.jpg"">";vinte e um;[sound:vocab-portuguese-vinte e um.mp3]
twenty - portuguese;"<img src=""vocab-twenty.jpg"">";vinte;[sound:vocab-portuguese-vinte.mp3]
two - portuguese;"<img src=""vocab-two.jpg"">";dois;[sound:vocab-portuguese-dois.mp3]
ugly - portuguese;"<img src=""vocab-ugly.jpg"">";feio;[sound:vocab-portuguese-feio.mp3]
umbrella - portuguese;"<img src=""vocab-umbrella.jpg"">";sombrinha;[sound:vocab-portuguese-sombrinha.mp3]
university - portuguese;"<img src=""vocab-university.jpg"">";universidade;[sound:vocab-portuguese-universidade.mp3]
up - portuguese;"<img src=""vocab-up.jpg"">";acima;[sound:vocab-portuguese-acima.mp3]
valley - portuguese;"<img src=""vocab-valley.jpg"">";vale;[sound:vocab-portuguese-vale.mp3]
victim - portuguese;"<img src=""vocab-victim.jpg"">";vítima;[sound:vocab-portuguese-vítima.mp3]
