first_field;image_html;french;french_audio_html;spanish
smell - french;"<img src=""vocab-smell.jpg"">";sentir;[sound:vocab-french-sentir.mp3];oler
smile - french;"<img src=""vocab-smile.jpg"">";sourire;[sound:vocab-french-sourire.mp3];sonrisa
snow - french;"<img src=""vocab-snow.jpg"">";neiger;[sound:vocab-french-neiger.mp3];nieve
soap - french;"<img src=""vocab-soap.jpg"">";savon;[sound:vocab-french-savon.mp3];jabón
soft - french;"<img src=""vocab-soft.jpg"">";doux;[sound:vocab-french-doux.mp3];suave
soil - french;"<img src=""vocab-soil.jpg"">";terre;[sound:vocab-french-terre.mp3];tierra
soldier - french;"<img src=""vocab-soldier.jpg"">";soldat;[sound:vocab-french-soldat.mp3];soldado
son - french;"<img src=""vocab-son.jpg"">";fils;[sound:vocab-french-fils.mp3];hijo
song - french;"<img src=""vocab-song.jpg"">";chanson;[sound:vocab-french-chanson.mp3];canción
sound - french;"<img src=""vocab-sound.jpg"">";sonner;[sound:vocab-french-sonner.mp3];sonido
soup - french;"<img src=""vocab-soup.jpg"">";soupe;[sound:vocab-french-soupe.mp3];sopa
south - french;"<img src=""vocab-south.jpg"">";sud;[sound:vocab-french-sud.mp3];sur
space - french;"<img src=""vocab-space.jpg"">";espacer;[sound:vocab-french-espacer.mp3];espacio
speak - french;"<img src=""vocab-speak.jpg"">";parler;[sound:vocab-french-parler.mp3];hablar
spoon - french;"<img src=""vocab-spoon.jpg"">";cuillère;[sound:vocab-french-cuillère.mp3];cuchara
sport - french;"<img src=""vocab-sport.jpg"">";sport;[sound:vocab-french-sport.mp3];deporte
spring - french;"<img src=""vocab-spring.jpg"">";printemps;[sound:vocab-french-printemps.mp3];primavera
square - french;"<img src=""vocab-square.jpg"">";carré;[sound:vocab-french-carré.mp3];cuadrado
stain - french;"<img src=""vocab-stain.jpg"">";tache;[sound:vocab-french-tache.mp3];manchar
stand - french;"<img src=""vocab-stand.jpg"">";se lever;[sound:vocab-french-se lever.mp3];estar de pie
star - french;"<img src=""vocab-star.jpg"">";étoile;[sound:vocab-french-étoile.mp3];estrella
stone - french;"<img src=""vocab-stone.jpg"">";calcul;[sound:vocab-french-calcul.mp3];piedra
stop - french;"<img src=""vocab-stop.jpg"">";arrêter;[sound:vocab-french-arrêter.mp3];detener
store - french;"<img src=""vocab-store.jpg"">";boutique;[sound:vocab-french-boutique.mp3];tienda
straight - french;"<img src=""vocab-straight.jpg"">";droit;[sound:vocab-french-droit.mp3];derecho
street - french;"<img src=""vocab-street.jpg"">";rue;[sound:vocab-french-rue.mp3];calle
strong - french;"<img src=""vocab-strong.jpg"">";fort;[sound:vocab-french-fort.mp3];fuerte
student - french;"<img src=""vocab-student.jpg"">";étudiant;[sound:vocab-french-étudiant.mp3];estudiante
sugar - french;"<img src=""vocab-sugar.jpg"">";sucre;[sound:vocab-french-sucre.mp3];azúcar
suit - french;"<img src=""vocab-suit.jpg"">";costume;[sound:vocab-french-costume.mp3];traje
summer - french;"<img src=""vocab-summer.jpg"">";été;[sound:vocab-french-été.mp3];verano
sun - french;"<img src=""vocab-sun.jpg"">";soleil;[sound:vocab-french-soleil.mp3];sol
Sunday - french;"<img src=""vocab-Sunday.jpg"">";dimanche;[sound:vocab-french-dimanche.mp3];domingo
sweat - french;"<img src=""vocab-sweat.jpg"">";transpiration;[sound:vocab-french-transpiration.mp3];sudor
swim - french;"<img src=""vocab-swim.jpg"">";nager;[sound:vocab-french-nager.mp3];nadar
T-shirt - french;"<img src=""vocab-T-shirt.jpg"">";tee-shirt;[sound:vocab-french-tee-shirt.mp3];camiseta
table - french;"<img src=""vocab-table.jpg"">";table;[sound:vocab-french-table.mp3];mesa
take - french;"<img src=""vocab-take.jpg"">";recevoir;[sound:vocab-french-recevoir.mp3];recibir
tall - french;"<img src=""vocab-tall.jpg"">";haut;[sound:vocab-french-haut.mp3];alto
taste - french;"<img src=""vocab-taste.jpg"">";goûter;[sound:vocab-french-goûter.mp3];gusto
tea - french;"<img src=""vocab-tea.jpg"">";thé;[sound:vocab-french-thé.mp3];té
teach - french;"<img src=""vocab-teach.jpg"">";enseigner;[sound:vocab-french-enseigner.mp3];enseñar
teacher - french;"<img src=""vocab-teacher.jpg"">";professeur;[sound:vocab-french-professeur.mp3];profesor
team - french;"<img src=""vocab-team.jpg"">";équipe;[sound:vocab-french-équipe.mp3];equipo
tear - french;"<img src=""vocab-tear.jpg"">";larme;[sound:vocab-french-larme.mp3];lágrima
technology - french;"<img src=""vocab-technology.jpg"">";technologie;[sound:vocab-french-technologie.mp3];tecnología
telephone - french;"<img src=""vocab-telephone.jpg"">";téléphone;[sound:vocab-french-téléphone.mp3];teléfono
television - french;"<img src=""vocab-television.jpg"">";télévision;[sound:vocab-french-télévision.mp3];televisión
temperature - french;"<img src=""vocab-temperature.jpg"">";température;[sound:vocab-french-température.mp3];temperatura
ten - french;"<img src=""vocab-ten.jpg"">";dix;[sound:vocab-french-dix.mp3];diez
theater - french;"<img src=""vocab-theater.jpg"">";théâtre;[sound:vocab-french-théâtre.mp3];teatro
there - french;"<img src=""vocab-there.jpg"">";là;[sound:vocab-french-là.mp3];allá
they - french;"<img src=""vocab-they.jpg"">";elles;[sound:vocab-french-elles.mp3];ellos
thick - french;"<img src=""vocab-thick.jpg"">";épais;[sound:vocab-french-épais.mp3];grueso
thin - french;"<img src=""vocab-thin.jpg"">";mince;[sound:vocab-french-mince.mp3];delgado
think - french;"<img src=""vocab-think.jpg"">";penser;[sound:vocab-french-penser.mp3];pensar
third - french;"<img src=""vocab-third.jpg"">";troisième;[sound:vocab-french-troisième.mp3];tercero
thirteen - french;"<img src=""vocab-thirteen.jpg"">";treize;[sound:vocab-french-treize.mp3];trece
thirty - french;"<img src=""vocab-thirty.jpg"">";trente;[sound:vocab-french-trente.mp3];treinta
thousand - french;"<img src=""vocab-thousand.jpg"">";mille;[sound:vocab-french-mille.mp3];mil
three - french;"<img src=""vocab-three.jpg"">";trois;[sound:vocab-french-trois.mp3];tres
throw - french;"<img src=""vocab-throw.jpg"">";lancer;[sound:vocab-french-lancer.mp3];lanzar
Thursday - french;"<img src=""vocab-Thursday.jpg"">";jeudi;[sound:vocab-french-jeudi.mp3];jueves
ticket - french;"<img src=""vocab-ticket.jpg"">";billet;[sound:vocab-french-billet.mp3];boleto
tight - french;"<img src=""vocab-tight.jpg"">";serré;[sound:vocab-french-serré.mp3];apretado
time - french;"<img src=""vocab-time.jpg"">";temps;[sound:vocab-french-temps.mp3];tiempo
tire - french;"<img src=""vocab-tire.jpg"">";pneu;[sound:vocab-french-pneu.mp3];neumático
toe - french;"<img src=""vocab-toe.jpg"">";orteil;[sound:vocab-french-orteil.mp3];dedo del pie
together - french;"<img src=""vocab-together.jpg"">";ensemble;[sound:vocab-french-ensemble.mp3];juntos
tongue - french;"<img src=""vocab-tongue.jpg"">";langue;[sound:vocab-french-langue.mp3];lengua
tool - french;"<img src=""vocab-tool.jpg"">";outil;[sound:vocab-french-outil.mp3];herramienta
tooth - french;"<img src=""vocab-tooth.jpg"">";dent;[sound:vocab-french-dent.mp3];diente
top - french;"<img src=""vocab-top.jpg"">";haut;[sound:vocab-french-haut.mp3];cima
touch - french;"<img src=""vocab-touch.jpg"">";toucher;[sound:vocab-french-toucher.mp3];tocar
town - french;"<img src=""vocab-town.jpg"">";ville;[sound:vocab-french-ville.mp3];pueblo
train station - french;"<img src=""vocab-train station.jpg"">";gare;[sound:vocab-french-gare.mp3];estación de tren
train - french;"<img src=""vocab-train.jpg"">";former;[sound:vocab-french-former.mp3];tren
transportation - french;"<img src=""vocab-transportation.jpg"">";transport;[sound:vocab-french-transport.mp3];transporte
tree - french;"<img src=""vocab-tree.jpg"">";arbre;[sound:vocab-french-arbre.mp3];árbol
truck - french;"<img src=""vocab-truck.jpg"">";camion;[sound:vocab-french-camion.mp3];camión
Tuesday - french;"<img src=""vocab-Tuesday.jpg"">";mardi;[sound:vocab-french-mardi.mp3];martes
turn - french;"<img src=""vocab-turn.jpg"">";tourner;[sound:vocab-french-tourner.mp3];girar
twelve - french;"<img src=""vocab-twelve.jpg"">";douze;[sound:vocab-french-douze.mp3];doce
twenty-one - french;"<img src=""vocab-twenty-one.jpg"">";vingt-et-un;[sound:vocab-french-vingt-et-un.mp3];veintiuno
twenty - french;"<img src=""vocab-twenty.jpg"">";vingt;[sound:vocab-french-vingt.mp3];veinte
two - french;"<img src=""vocab-two.jpg"">";deux;[sound:vocab-french-deux.mp3];dos
ugly - french;"<img src=""vocab-ugly.jpg"">";moche;[sound:vocab-french-moche.mp3];feo
university - french;"<img src=""vocab-university.jpg"">";université;[sound:vocab-french-université.mp3];universidad
up - french;"<img src=""vocab-up.jpg"">";dessus;[sound:vocab-french-dessus.mp3];arriba
valley - french;"<img src=""vocab-valley.jpg"">";vallée;[sound:vocab-french-vallée.mp3];valle
victim - french;"<img src=""vocab-victim.jpg"">";victime;[sound:vocab-french-victime.mp3];víctima
voice - french;"<img src=""vocab-voice.jpg"">";voix;[sound:vocab-french-voix.mp3];voz
vowel - french;"<img src=""vocab-vowel.jpg"">";voyelle;[sound:vocab-french-voyelle.mp3];vocal
wait - french;"<img src=""vocab-wait.jpg"">";attendre;[sound:vocab-french-attendre.mp3];esperar
waiter - french;"<img src=""vocab-waiter.jpg"">";garçon;[sound:vocab-french-garçon.mp3];camarero
wake up - french;"<img src=""vocab-wake up.jpg"">";réveiller;[sound:vocab-french-réveiller.mp3];despertar
walk - french;"<img src=""vocab-walk.jpg"">";marcher;[sound:vocab-french-marcher.mp3];caminar
wall - french;"<img src=""vocab-wall.jpg"">";mur;[sound:vocab-french-mur.mp3];pared
want - french;"<img src=""vocab-want.jpg"">";vouloir;[sound:vocab-french-vouloir.mp3];querer
war - french;"<img src=""vocab-war.jpg"">";guerre;[sound:vocab-french-guerre.mp3];guerra
warm - french;"<img src=""vocab-warm.jpg"">";chaud;[sound:vocab-french-chaud.mp3];caliente
wash - french;"<img src=""vocab-wash.jpg"">";laver;[sound:vocab-french-laver.mp3];lavar
watch - french;"<img src=""vocab-watch.jpg"">";regarder;[sound:vocab-french-regarder.mp3];ver
water - french;"<img src=""vocab-water.jpg"">";eau;[sound:vocab-french-eau.mp3];agua
wave - french;"<img src=""vocab-wave.jpg"">";vague;[sound:vocab-french-vague.mp3];ola
we - french;"<img src=""vocab-we.jpg"">";nous;[sound:vocab-french-nous.mp3];nosotros
weak - french;"<img src=""vocab-weak.jpg"">";faible;[sound:vocab-french-faible.mp3];débil
wear - french;"<img src=""vocab-wear.jpg"">";porter;[sound:vocab-french-porter.mp3];vestir
wedding - french;"<img src=""vocab-wedding.jpg"">";mariage;[sound:vocab-french-mariage.mp3];boda
Wednesday - french;"<img src=""vocab-Wednesday.jpg"">";mercredi;[sound:vocab-french-mercredi.mp3];miércoles
week - french;"<img src=""vocab-week.jpg"">";semaine;[sound:vocab-french-semaine.mp3];semana
weight - french;"<img src=""vocab-weight.jpg"">";poids;[sound:vocab-french-poids.mp3];peso
west - french;"<img src=""vocab-west.jpg"">";ouest;[sound:vocab-french-ouest.mp3];oeste
wet - french;"<img src=""vocab-wet.jpg"">";mouiller;[sound:vocab-french-mouiller.mp3];mojado
white - french;"<img src=""vocab-white.jpg"">";blanc;[sound:vocab-french-blanc.mp3];blanco
wide - french;"<img src=""vocab-wide.jpg"">";large;[sound:vocab-french-large.mp3];amplio
wife - french;"<img src=""vocab-wife.jpg"">";épouse;[sound:vocab-french-épouse.mp3];esposa
win - french;"<img src=""vocab-win.jpg"">";gagner;[sound:vocab-french-gagner.mp3];ganar
wind - french;"<img src=""vocab-wind.jpg"">";vent;[sound:vocab-french-vent.mp3];viento
window - french;"<img src=""vocab-window.jpg"">";fenêtre;[sound:vocab-french-fenêtre.mp3];ventana
wine - french;"<img src=""vocab-wine.jpg"">";vin;[sound:vocab-french-vin.mp3];vino
wing - french;"<img src=""vocab-wing.jpg"">";aile;[sound:vocab-french-aile.mp3];ala
winter - french;"<img src=""vocab-winter.jpg"">";hiver;[sound:vocab-french-hiver.mp3];invierno
woman - french;"<img src=""vocab-woman.jpg"">";femme;[sound:vocab-french-femme.mp3];mujer
wood - french;"<img src=""vocab-wood.jpg"">";bois;[sound:vocab-french-bois.mp3];madera
work - french;"<img src=""vocab-work.jpg"">";travailler;[sound:vocab-french-travailler.mp3];trabajar
world - french;"<img src=""vocab-world.jpg"">";monde;[sound:vocab-french-monde.mp3];mundo
write - french;"<img src=""vocab-write.jpg"">";écrire;[sound:vocab-french-écrire.mp3];escribir
year - french;"<img src=""vocab-year.jpg"">";an;[sound:vocab-french-an.mp3];año
yellow - french;"<img src=""vocab-yellow.jpg"">";jaune;[sound:vocab-french-jaune.mp3];amarillo
yes - french;"<img src=""vocab-yes.jpg"">";oui;[sound:vocab-french-oui.mp3];sí
you (plural) - french;"<img src=""vocab-you (plural).jpg"">";vous;[sound:vocab-french-vous.mp3];ustedes
you (singular) - french;"<img src=""vocab-you (singular).jpg"">";toi;[sound:vocab-french-toi.mp3];tú
young - french;"<img src=""vocab-young.jpg"">";jeune;[sound:vocab-french-jeune.mp3];joven
zero - french;"<img src=""vocab-zero.jpg"">";zéro;[sound:vocab-french-zéro.mp3];cero
