first_field;image_html;french;french_audio_html;spanish
knife - french;"<img src=""vocab-knife.jpg"">";couteau;[sound:vocab-french-couteau.mp3];cuchillo
lake - french;"<img src=""vocab-lake.jpg"">";lac;[sound:vocab-french-lac.mp3];lago
lamp - french;"<img src=""vocab-lamp.jpg"">";lampe;[sound:vocab-french-lampe.mp3];lámpara
language - french;"<img src=""vocab-language.jpg"">";langue;[sound:vocab-french-langue.mp3];idioma
laptop - french;"<img src=""vocab-laptop.jpg"">";portable;[sound:vocab-french-portable.mp3];ordenador portátil
last - french;"<img src=""vocab-last.jpg"">";dernier;[sound:vocab-french-dernier.mp3];último
laugh - french;"<img src=""vocab-laugh.jpg"">";rire;[sound:vocab-french-rire.mp3];reír
lawyer - french;"<img src=""vocab-lawyer.jpg"">";avocat;[sound:vocab-french-avocat.mp3];abogado
leaf - french;"<img src=""vocab-leaf.jpg"">";feuille;[sound:vocab-french-feuille.mp3];hoja
learn - french;"<img src=""vocab-learn.jpg"">";apprendre;[sound:vocab-french-apprendre.mp3];aprender
left - french;"<img src=""vocab-left.jpg"">";gauche;[sound:vocab-french-gauche.mp3];izquierda
leg - french;"<img src=""vocab-leg.jpg"">";jambe;[sound:vocab-french-jambe.mp3];pierna
lemon - french;"<img src=""vocab-lemon.jpg"">";citron;[sound:vocab-french-citron.mp3];limón
letter - french;"<img src=""vocab-letter.jpg"">";lettre;[sound:vocab-french-lettre.mp3];carta
library - french;"<img src=""vocab-library.jpg"">";bibliothèque;[sound:vocab-french-bibliothèque.mp3];biblioteca
lie down - french;"<img src=""vocab-lie down.jpg"">";s'allonger;[sound:vocab-french-s'allonger.mp3];acostar
lift - french;"<img src=""vocab-lift.jpg"">";soulever;[sound:vocab-french-soulever.mp3];levantar
light (brightness) - french;"<img src=""vocab-light (brightness).jpg"">";clair;[sound:vocab-french-clair.mp3];claro
light (noun) - french;"<img src=""vocab-light (noun).jpg"">";lumière;[sound:vocab-french-lumière.mp3];luz
light (weight) - french;"<img src=""vocab-light (weight).jpg"">";léger;[sound:vocab-french-léger.mp3];ligero
lip - french;"<img src=""vocab-lip.jpg"">";lèvre;[sound:vocab-french-lèvre.mp3];labio
listen - french;"<img src=""vocab-listen.jpg"">";écouter;[sound:vocab-french-écouter.mp3];escuchar
location - french;"<img src=""vocab-location.jpg"">";lieu;[sound:vocab-french-lieu.mp3];ubicación
lock - french;"<img src=""vocab-lock.jpg"">";cadenas;[sound:vocab-french-cadenas.mp3];candado
long - french;"<img src=""vocab-long.jpg"">";long;[sound:vocab-french-long.mp3];largo
loose - french;"<img src=""vocab-loose.jpg"">";ample;[sound:vocab-french-ample.mp3];suelto
lose - french;"<img src=""vocab-lose.jpg"">";perdre;[sound:vocab-french-perdre.mp3];perder
lost - french;"<img src=""vocab-lost.jpg"">";perdu;[sound:vocab-french-perdu.mp3];perdido
